Code postal,Localité,Sous-commune,Province,Langue
4280,Avin,Oui,Liège,FR_BE
4340,AWANS,Non,Liège,FR_BE
6870,Awenne,Oui,Luxembourg,FR_BE
4400,Awirs,Oui,Liège,FR_BE
6900,Aye,Oui,Luxembourg,FR_BE
4630,Ayeneux,Oui,Liège,FR_BE
4920,AYWAILLE,Non,Liège,FR_BE
9890,Baaigem,Oui,Flandre-Orientale,FR_BE
3128,Baal,Oui,Brabant Flamand,FR_BE
9310,Baardegem,Oui,Flandre-Orientale,FR_BE
2387,BAARLE-HERTOG,Non,Anvers,FR_BE
9200,Baasrode,Oui,Flandre-Orientale,FR_BE
9800,Bachte-Maria-Leerne,Oui,Flandre-Orientale,FR_BE
4837,BAELEN,Non,Liège,FR_BE
5550,Bagimont,Oui,Namur,FR_BE
6464,Baileux,Oui,Hainaut,FR_BE
6460,Bailièvre,Oui,Hainaut,FR_BE
5555,Baillamont,Oui,Namur,FR_BE
7730,Bailleul,Oui,Hainaut,FR_BE
5377,Baillonville,Oui,Namur,FR_BE
7380,Baisieux,Oui,Hainaut,FR_BE
1470,Baisy-Thy,Oui,Brabant Wallon,FR_BE
5190,Balâtre,Oui,Namur,FR_BE
9860,Balegem,Oui,Flandre-Orientale,FR_BE
2490,BALEN,Non,Anvers,FR_BE
9420,Bambrugge,Oui,Flandre-Orientale,FR_BE
6951,Bande,Oui,Luxembourg,FR_BE
6500,Barbençon,Oui,Hainaut,FR_BE
4671,Barchon,Oui,Liège,FR_BE
5570,Baronville,Oui,Namur,FR_BE
7534,Barry,Oui,Hainaut,FR_BE
5370,Barvaux-Condroz,Oui,Namur,FR_BE
6940,Barvaux-Sur-Ourthe,Oui,Luxembourg,FR_BE
4520,Bas-Oha,Oui,Liège,FR_BE
7784,Bas-Warneton,Oui,Hainaut,FR_BE
7971,Basècles,Oui,Hainaut,FR_BE
4983,Basse-Bodeux,Oui,Liège,FR_BE
4690,BASSENGE,Non,Liège,FR_BE
9968,Bassevelde,Oui,Flandre-Orientale,FR_BE
7830,Bassilly,Oui,Hainaut,FR_BE
